	dates,place,lowt,avgt,hight
	2022-10-01,143,21.6,13.4,31
	2022-10-02,143,22.2,15,29.6
	2022-10-03,143,24.9,20.3,29.7
	2022-10-04,143,21.5,15.3,27.2
	2022-10-05,143,17,15.1,20.7
	2022-10-06,143,18.2,15.3,23.3
	2022-10-07,143,16.6,12.8,20
	2022-10-08,143,14.9,9.4,20.9
	2022-10-09,143,14.4,12,16.4
	2022-10-10,143,13.7,11.2,17.3
	2022-10-11,143,13.6,9.8,19
	2022-10-12,143,14,6.6,21.4
	2022-10-13,143,16.1,10.7,22.4
	2022-10-14,143,16.1,9.8,22.7
	2022-10-15,143,17.8,12.3,24.2
	2022-10-16,143,19.2,11.9,25.7
	2022-10-17,143,16,10.4,20.6
	2022-10-18,143,11.7,7.7,16.9
	2022-10-19,143,10.8,4,17.9
	2022-10-20,143,12,3.2,21.4
	2022-10-21,143,14.5,7.1,20.1
	2022-10-22,143,16.6,11.9,23.3
	2022-10-23,143,15.3,10.7,21.4
	2022-10-24,143,12.3,7.9,16.5
	2022-10-25,143,11.2,5.1,18.1
	2022-10-26,143,12.2,4.3,20.1
	2022-10-27,143,14.5,9.7,21.8
	2022-10-28,143,13.1,6.5,22.1
	2022-10-29,143,13.6,8.5,19.9
	2022-10-30,143,13.3,9.6,18.7
	2022-10-31,143,13.1,6.9,19.5
-

